first_name,last_name,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS_48,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
markelle,fultz,,,,,,,,,,,,,,,,,,,,,,
lonzo,ball,,,,,,,,,,,,,,,,,,,,,,
jayson,tatum,,,,,,,,,,,,,,,,,,,,,,
josh,jackson,,,,,,,,,,,,,,,,,,,,,,
deaaron,fox,,,,,,,,,,,,,,,,,,,,,,
jonathan,isaac,,,,,,,,,,,,,,,,,,,,,,
lauri,markkanen,,,,,,,,,,,,,,,,,,,,,,
dennis,smithjr,,,,,,,,,,,,,,,,,,,,,,
zach,collins,,,,,,,,,,,,,,,,,,,,,,
malik,monk,,,,,,,,,,,,,,,,,,,,,,
luke,kennard,,,,,,,,,,,,,,,,,,,,,,
donovan,mitchell,,,,,,,,,,,,,,,,,,,,,,
edrice,adebayo,,,,,,,,,,,,,,,,,,,,,,
justin,jackson,,,,,,,,,,,,,,,,,,,,,,
justin,patton,,,,,,,,,,,,,,,,,,,,,,
dj,wilson,,,,,,,,,,,,,,,,,,,,,,
tj,leaf,,,,,,,,,,,,,,,,,,,,,,
john,collins,,,,,,,,,,,,,,,,,,,,,,
harry,giles,,,,,,,,,,,,,,,,,,,,,,
jarrett,allen,,,,,,,,,,,,,,,,,,,,,,
og,anunoby,,,,,,,,,,,,,,,,,,,,,,
tyler,lydon,,,,,,,,,,,,,,,,,,,,,,
caleb,swanigan,,,,,,,,,,,,,,,,,,,,,,
kyle,kuzma,,,,,,,,,,,,,,,,,,,,,,
tony,bradley,,,,,,,,,,,,,,,,,,,,,,
derrick,white,,,,,,,,,,,,,,,,,,,,,,
josh,hart,,,,,,,,,,,,,,,,,,,,,,
frank,jackson,,,,,,,,,,,,,,,,,,,,,,
davon,reed,,,,,,,,,,,,,,,,,,,,,,
wesley,iwundu,,,,,,,,,,,,,,,,,,,,,,
frank,mason,,,,,,,,,,,,,,,,,,,,,,
ivan,rabb,,,,,,,,,,,,,,,,,,,,,,
semi,ojeleye,,,,,,,,,,,,,,,,,,,,,,
jordan,bell,,,,,,,,,,,,,,,,,,,,,,
jawun,evans,,,,,,,,,,,,,,,,,,,,,,
dwayne,bacon,,,,,,,,,,,,,,,,,,,,,,
tyler,dorsey,,,,,,,,,,,,,,,,,,,,,,
thomas,bryant,,,,,,,,,,,,,,,,,,,,,,
damyean,dotson,,,,,,,,,,,,,,,,,,,,,,
dillon,brooks,,,,,,,,,,,,,,,,,,,,,,
sterling,brown,,,,,,,,,,,,,,,,,,,,,,
ike,anigbogu,,,,,,,,,,,,,,,,,,,,,,
sindarius,thornwell,,,,,,,,,,,,,,,,,,,,,,
monte,morris,,,,,,,,,,,,,,,,,,,,,,
edmond,sumner,,,,,,,,,,,,,,,,,,,,,,
kadeem,allen,,,,,,,,,,,,,,,,,,,,,,
alec,peters,,,,,,,,,,,,,,,,,,,,,,
nigel,williams-goss,,,,,,,,,,,,,,,,,,,,,,
jabari,bird,,,,,,,,,,,,,,,,,,,,,,
jaron,blossomgame,,,,,,,,,,,,,,,,,,,,,,
ben,simmons,,,,,,,,,,,,,,,,,,,,,,
brandon,ingram,,,,,,,,,,,,,,,,,,,,,,
jaylen,brown,,,,,,,,,,,,,,,,,,,,,,
kris,dunn,,,,,,,,,,,,,,,,,,,,,,
buddy,hield,,,,,,,,,,,,,,,,,,,,,,
jamal,murray,,,,,,,,,,,,,,,,,,,,,,
marquese,chriss,,,,,,,,,,,,,,,,,,,,,,
jakob,poeltl,,,,,,,,,,,,,,,,,,,,,,
domantas,sabonis,,,,,,,,,,,,,,,,,,,,,,
taurean,prince,,,,,,,,,,,,,,,,,,,,,,
denzel,valentine,,,,,,,,,,,,,,,,,,,,,,
wade,baldwin,,,,,,,,,,,,,,,,,,,,,,
henry,ellenson,,,,,,,,,,,,,,,,,,,,,,
malik,beasley,,,,,,,,,,,,,,,,,,,,,,
caris,levert,,,,,,,,,,,,,,,,,,,,,,
deandre,bembry,,,,,,,,,,,,,,,,,,,,,,
malachi,richardson,,,,,,,,,,,,,,,,,,,,,,
brice,johnson,,,,,,,,,,,,,,,,,,,,,,
pascal,siakam,,,,,,,,,,,,,,,,,,,,,,
skal,labissiere,,,,,,,,,,,,,,,,,,,,,,
dejounte,murray,,,,,,,,,,,,,,,,,,,,,,
damian,jones,,,,,,,,,,,,,,,,,,,,,,
deyonta,davis,,,,,,,,,,,,,,,,,,,,,,
cheick,diallo,,,,,,,,,,,,,,,,,,,,,,
tyler,ulis,,,,,,,,,,,,,,,,,,,,,,
malcolm,brogdon,,,,,,,,,,,,,,,,,,,,,,
chinanu,onuaku,,,,,,,,,,,,,,,,,,,,,,
patrick,mccaw,,,,,,,,,,,,,,,,,,,,,,
diamond,stone,,,,,,,,,,,,,,,,,,,,,,
stephen,zimmermanjr,,,,,,,,,,,,,,,,,,,,,,
isaiah,whitehead,,,,,,,,,,,,,,,,,,,,,,
demetrius,jackson,,,,,,,,,,,,,,,,,,,,,,
aj,hammons,,,,,,,,,,,,,,,,,,,,,,
jake,layman,,,,,,,,,,,,,,,,,,,,,,
michael,gbinije,,,,,,,,,,,,,,,,,,,,,,
georges,niang,,,,,,,,,,,,,,,,,,,,,,
ben,bentil,,,,,,,,,,,,,,,,,,,,,,
joel,bolomboy,,,,,,,,,,,,,,,,,,,,,,
kahlil,felder,,,,,,,,,,,,,,,,,,,,,,
marcus,paige,,,,,,,,,,,,,,,,,,,,,,
daniel,hamilton,,,,,,,,,,,,,,,,,,,,,,
abdel,nader,,,,,,,,,,,,,,,,,,,,,,
isaiah,cousins,,,,,,,,,,,,,,,,,,,,,,
tyrone,wallace,,,,,,,,,,,,,,,,,,,,,,
karl-anthony,towns,82.0,3030.0,25.9,0.618,0.18600000000000003,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,9.9,2.8,12.7,0.201,4.7,0.2,4.9,5.3
dangelo,russell,63.0,1811.0,15.3,0.518,0.44299999999999995,0.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,0.3,1.0,1.3,0.033,1.1,-1.6,-0.5,0.7
jahlil,okafor,50.0,1134.0,14.8,0.546,0.0,0.335,7.8,15.5,11.7,9.0,0.9,3.4,14.4,24.1,0.1,1.1,1.2,0.05,-3.4,0.1,-3.3,-0.4
willie,cauley-stein,75.0,1421.0,16.3,0.5579999999999999,0.004,0.314,7.0,20.4,13.8,9.4,1.9,2.8,11.2,19.7,1.4,1.5,2.9,0.1,-2.0,0.8,-1.2,0.3
stanley,johnson,77.0,1371.0,7.2,0.436,0.42200000000000004,0.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,-1.4,1.8,0.4,0.012,-3.8,1.8,-2.0,0.0
frank,kaminsky,75.0,1954.0,13.0,0.502,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8.0,21.8,0.4,1.9,2.3,0.055999999999999994,-0.8,-0.8,-1.5,0.0
justise,winslow,18.0,625.0,8.2,0.39899999999999997,0.156,0.209,4.0,12.7,8.3,15.5,2.1,0.8,11.8,19.8,-0.9,0.8,-0.1,-0.009000000000000001,-4.0,1.2,-2.8,-0.1
myles,turner,81.0,2541.0,18.5,0.585,0.132,0.349,6.2,19.6,13.0,6.6,1.5,5.9,9.5,19.5,4.3,3.7,8.0,0.151,-0.3,2.6,2.4,2.8
trey,lyles,71.0,1158.0,9.9,0.46399999999999997,0.465,0.18,4.9,18.1,11.7,9.5,1.2,1.4,11.9,21.7,-0.9,1.6,0.8,0.031,-3.0,-0.1,-3.0,-0.3
devin,booker,78.0,2730.0,14.6,0.531,0.28300000000000003,0.308,1.8,8.3,5.0,16.3,1.3,0.6,12.9,28.6,1.3,0.6,2.0,0.035,0.4,-2.7,-2.3,-0.2
cameron,payne,31.0,462.0,5.5,0.40700000000000003,0.446,0.040999999999999995,0.7,10.7,5.7,17.7,1.5,0.7,12.9,20.9,-0.8,0.4,-0.3,-0.035,-4.8,-2.2,-7.0,-0.6
kelly,oubre,79.0,1605.0,9.1,0.516,0.425,0.22399999999999998,4.3,14.0,9.2,4.0,1.8,0.9,9.3,14.6,0.6,1.5,2.0,0.061,-1.8,-0.5,-2.3,-0.1
terry,rozier,74.0,1263.0,10.9,0.466,0.436,0.161,3.6,16.3,10.0,15.2,1.8,0.7,9.7,17.1,0.0,1.4,1.4,0.054000000000000006,-2.5,0.0,-2.5,-0.2
rashad,vaughn,41.0,458.0,7.8,0.449,0.519,0.032,1.0,11.3,6.2,7.4,2.1,1.9,8.1,17.2,-0.5,0.4,0.0,-0.005,-3.7,-1.2,-4.9,-0.3
sam,dekker,77.0,1419.0,13.1,0.5489999999999999,0.436,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,1.9,1.2,3.1,0.10400000000000001,-0.4,-0.6,-1.0,0.3
jerian,grant,63.0,1028.0,13.2,0.555,0.445,0.243,1.8,9.9,5.8,17.4,2.3,0.6,11.7,16.0,1.4,1.2,2.5,0.11900000000000001,0.0,-0.3,-0.3,0.4
delon,wright,27.0,446.0,15.0,0.535,0.259,0.474,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6,0.5,0.6,1.1,0.11699999999999999,-0.1,1.2,1.1,0.4
justin,anderson,75.0,1228.0,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.07400000000000001,-1.2,-0.3,-1.6,0.1
bobby,portis,64.0,1000.0,14.9,0.545,0.256,0.157,8.0,24.0,16.0,5.7,0.8,0.9,8.4,19.1,1.1,1.2,2.4,0.114,-1.6,-1.5,-3.0,-0.3
rondae,hollis-jefferson,78.0,1761.0,13.7,0.517,0.124,0.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,2.6,0.07,-2.9,1.9,-1.0,0.4
tyus,jones,60.0,774.0,13.8,0.523,0.40299999999999997,0.23800000000000002,1.5,8.7,5.0,28.0,3.1,0.6,16.0,13.6,1.0,0.6,1.5,0.096,-0.4,-1.5,-1.8,0.0
jarell,martin,42.0,558.0,8.7,0.47700000000000004,0.166,0.331,8.4,25.3,16.6,2.2,1.6,1.5,13.9,16.4,-0.2,0.8,0.6,0.054000000000000006,-5.8,-0.6,-6.4,-0.6
larry,nance,63.0,1442.0,15.7,0.5670000000000001,0.1,0.222,8.8,19.6,14.0,9.7,2.8,2.2,12.4,13.4,2.1,1.5,3.5,0.11800000000000001,-0.3,2.2,1.9,1.4
rj,hunter,3.0,9.0,-3.2,0.0,1.0,0.0,0.0,12.1,6.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,-0.08800000000000001,-9.4,-2.0,-11.4,0.0
chris,mccullough,16.0,80.0,15.2,0.526,0.21899999999999997,0.156,12.1,13.3,12.7,4.4,1.2,1.9,8.1,19.9,0.1,0.1,0.1,0.07200000000000001,-1.9,-2.6,-4.6,-0.1
kevon,looney,53.0,447.0,13.6,0.5529999999999999,0.084,0.318,11.5,18.5,15.2,8.5,1.6,3.0,12.2,13.4,0.7,0.8,1.4,0.155,-1.4,1.8,0.4,0.3
montrezl,harrell,58.0,1064.0,19.2,0.662,0.02,0.35100000000000003,8.3,14.2,11.2,9.6,0.9,3.2,9.9,17.6,3.1,1.0,4.1,0.183,0.8,0.2,0.9,0.8
jordan,mickey,25.0,141.0,9.8,0.473,0.028999999999999998,0.41200000000000003,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.1,0.036000000000000004,-5.7,0.9,-4.9,-0.1
anthony,brown,11.0,159.0,7.2,0.43,0.54,0.0,5.3,16.9,11.0,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0.0,0.001,-3.8,-0.2,-4.0,-0.1
rakeem,christmas,29.0,219.0,10.4,0.529,0.0,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.5,0.099,-3.0,-1.2,-4.2,-0.1
richaun,holmes,57.0,1193.0,18.6,0.611,0.187,0.25,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,2.2,1.6,3.8,0.151,0.2,1.5,1.7,1.1
darrun,hilliard,39.0,381.0,5.9,0.45899999999999996,0.365,0.222,0.6,9.2,4.7,12.3,1.5,0.4,16.8,19.3,-0.6,0.4,-0.2,-0.027000000000000003,-5.0,-1.1,-6.1,-0.4
josh,richardson,53.0,1614.0,10.7,0.493,0.442,0.15,2.4,9.2,5.8,12.7,1.9,1.9,10.6,16.8,0.3,1.9,2.2,0.066,-1.0,1.1,0.2,0.9
pat,connaughton,39.0,316.0,11.8,0.645,0.45799999999999996,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13.0,0.4,0.2,0.6,0.09,-0.9,-1.6,-2.5,0.0
olivier,hanlan,,,,,,,,,,,,,,,,,,,,,,
joseph,young,33.0,135.0,11.4,0.433,0.319,0.20800000000000002,0.8,13.1,7.1,18.0,1.5,0.0,6.0,27.8,-0.2,0.1,-0.1,-0.022000000000000002,-3.5,-3.8,-7.3,-0.2
andrew,harrison,33.0,681.0,11.2,0.499,0.353,0.41100000000000003,2.7,10.0,6.4,17.7,1.7,1.9,13.1,19.0,0.2,0.5,0.7,0.049,-1.9,-0.7,-2.7,-0.1
marcus,thornton,,,,,,,,,,,,,,,,,,,,,,
norman,powell,76.0,1368.0,14.0,0.552,0.342,0.314,2.2,11.8,7.0,9.3,1.9,0.9,10.8,21.1,1.4,1.4,2.8,0.09699999999999999,-0.4,-1.1,-1.5,0.2
dakari,johnson,,,,,,,,,,,,,,,,,,,,,,
aaron,white,,,,,,,,,,,,,,,,,,,,,,
tyler,harvey,,,,,,,,,,,,,,,,,,,,,,
sirdominic,pointer,,,,,,,,,,,,,,,,,,,,,,
cady,lalanne,,,,,,,,,,,,,,,,,,,,,,
branden,dawson,,,,,,,,,,,,,,,,,,,,,,
jp,tokoto,,,,,,,,,,,,,,,,,,,,,,
andrew,wiggins,81.0,2845.0,16.5,0.5429999999999999,0.147,0.43700000000000006,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,3.4,0.7,4.1,0.069,0.4,-2.5,-2.1,-0.1
jabari,parker,76.0,2408.0,14.8,0.535,0.039,0.254,5.9,12.8,9.4,8.9,1.5,1.0,10.4,20.9,2.4,1.2,3.6,0.07200000000000001,-0.9,-1.5,-2.4,-0.2
aaron,gordon,78.0,1863.0,17.0,0.541,0.245,0.33299999999999996,9.0,21.3,15.1,10.3,1.6,2.4,9.0,17.3,3.2,2.2,5.4,0.139,0.6,1.2,1.8,1.8
marcus,smart,61.0,1667.0,11.3,0.46299999999999997,0.456,0.314,4.8,11.6,8.1,15.8,2.7,0.8,11.7,17.4,0.5,2.4,2.9,0.083,-0.6,1.3,0.7,1.1
julius,randle,81.0,2286.0,13.9,0.48200000000000004,0.043,0.32299999999999995,7.8,32.0,19.5,11.0,1.2,1.0,13.5,21.2,-0.3,1.9,1.6,0.035,-3.7,0.0,-3.6,-0.9
nik,stauskas,73.0,1809.0,9.2,0.517,0.596,0.217,1.3,10.0,5.5,12.0,1.2,0.8,13.6,16.7,0.0,0.5,0.5,0.012,-1.7,-1.9,-3.6,-0.7
noah,vonleh,78.0,1174.0,8.6,0.47100000000000003,0.165,0.183,8.4,19.8,14.1,3.7,1.2,1.7,14.3,13.0,0.0,1.1,1.2,0.047,-4.0,0.0,-4.0,-0.6
elfrid,payton,73.0,2145.0,13.9,0.478,0.126,0.26,3.9,9.6,6.7,32.8,2.1,0.8,17.9,20.4,0.5,1.7,2.2,0.05,-0.9,-0.5,-1.3,0.4
doug,mcdermott,81.0,1861.0,10.9,0.561,0.402,0.13,2.1,8.8,5.5,5.0,0.4,0.2,7.2,17.3,2.1,0.7,2.8,0.073,-0.3,-2.8,-3.1,-0.5
zach,lavine,82.0,2294.0,14.3,0.5479999999999999,0.33,0.212,1.4,10.1,5.8,18.6,1.5,0.6,12.9,23.5,1.9,0.7,2.6,0.054000000000000006,1.0,-2.4,-1.4,0.4
tj,warren,47.0,1070.0,15.7,0.5489999999999999,0.159,0.145,5.7,9.3,7.5,7.2,1.7,1.2,6.4,19.9,1.7,0.6,2.2,0.10099999999999999,0.2,-1.3,-1.2,0.2
adreian,payne,52.0,486.0,5.6,0.42200000000000004,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-5.9,-0.2,-6.1,-0.5
james,young,29.0,199.0,3.6,0.384,0.722,0.111,2.1,11.9,6.9,6.0,1.5,0.4,11.7,9.1,-0.2,0.2,0.1,0.013000000000000001,-4.7,0.1,-4.6,-0.1
tyler,ennis,46.0,654.0,10.7,0.51,0.209,0.182,2.3,10.7,6.6,21.9,1.9,0.1,18.6,17.1,0.1,0.3,0.4,0.03,-2.4,-2.3,-4.8,-0.5
gary,harris,76.0,2439.0,12.7,0.5660000000000001,0.38799999999999996,0.174,2.4,7.7,5.0,9.5,2.0,0.6,10.6,16.5,2.8,1.2,4.0,0.079,0.9,-0.7,0.2,1.3
mitch,mcgary,20.0,72.0,7.4,0.474,0.174,0.435,6.4,20.1,13.6,6.0,0.7,2.1,20.3,20.4,-0.1,0.1,0.0,-0.018000000000000002,-6.2,-1.5,-7.7,-0.1
jordan,adams,2.0,15.0,17.3,0.42700000000000005,0.16699999999999998,0.833,0.0,15.9,7.6,31.9,10.3,0.0,19.6,30.5,0.0,0.0,0.0,0.015,-2.9,4.8,1.9,0.0
rodney,hood,79.0,2541.0,14.1,0.542,0.462,0.20600000000000002,1.8,10.5,6.1,14.4,1.5,0.5,10.5,21.5,3.4,2.5,6.0,0.11199999999999999,1.6,-0.9,0.7,1.7
shabazz,napier,55.0,600.0,9.6,0.46,0.517,0.22399999999999998,1.6,8.6,5.1,23.1,1.9,0.1,17.2,19.7,-0.3,0.4,0.1,0.004,-2.3,-2.6,-4.9,-0.4
pj,hairston,66.0,1313.0,6.9,0.47,0.591,0.157,2.1,12.8,7.3,4.4,1.2,0.7,8.6,16.4,-0.6,1.1,0.6,0.021,-2.7,-1.5,-4.2,-0.7
cj,wilcox,23.0,167.0,12.9,0.491,0.348,0.182,0.7,7.1,3.9,9.4,3.0,0.9,2.7,19.8,0.1,0.2,0.3,0.08900000000000001,-1.5,-0.9,-2.4,0.0
josh,huestis,2.0,31.0,26.1,0.612,0.364,0.091,14.3,17.9,16.1,15.5,0.0,7.7,0.0,15.7,0.1,0.0,0.2,0.265,3.9,1.8,5.7,0.1
kyle,anderson,78.0,1245.0,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,0.7,2.8,3.5,0.133,-1.9,3.7,1.8,1.2
kj,mcdaniels,37.0,235.0,10.6,0.522,0.34700000000000003,0.41700000000000004,7.5,12.3,9.9,6.5,1.5,2.1,16.6,18.7,0.1,0.1,0.2,0.043,-3.1,-1.9,-5.0,-0.2
joe,harris-,5.0,15.0,3.4,0.375,1.0,0.0,0.0,22.5,11.3,18.2,0.0,0.0,20.0,15.1,0.0,0.0,0.0,-0.032,-5.0,-1.6,-6.6,0.0
cleanthony,early,17.0,154.0,2.2,0.371,0.375,0.1,2.9,15.4,9.2,5.7,0.7,1.5,17.7,14.9,-0.3,0.1,-0.2,-0.075,-7.1,-1.1,-8.2,-0.2
jarnell,stokes,7.0,18.0,20.0,0.595,0.0,0.4,6.1,18.8,12.6,9.6,2.8,0.0,0.0,14.9,0.1,0.0,0.1,0.209,-0.1,-1.0,-1.0,0.0
johnny,obryant,66.0,857.0,7.4,0.441,0.005,0.191,8.7,14.7,11.7,5.4,1.1,0.8,12.0,13.5,-0.2,0.4,0.3,0.013999999999999999,-4.3,-1.7,-6.0,-0.9
deandre,daniels,,,,,,,,,,,,,,,,,,,,,,
spencer,dinwiddie,12.0,159.0,8.9,0.423,0.185,0.611,2.6,9.3,5.8,20.9,1.0,0.0,9.3,20.7,0.0,0.1,0.1,0.027999999999999997,-3.1,-2.0,-5.1,-0.1
jerami,grant,77.0,2066.0,12.6,0.506,0.244,0.5379999999999999,5.0,14.3,9.5,10.4,1.3,4.7,12.9,18.0,0.5,1.6,2.1,0.05,-2.6,1.3,-1.3,0.4
glenn,robinson,45.0,508.0,11.4,0.508,0.245,0.258,2.6,12.0,7.3,7.7,1.7,1.4,9.7,16.1,0.2,0.6,0.8,0.078,-3.0,0.0,-3.0,-0.1
nick,johnson,,,,,,,,,,,,,,,,,,,,,,
markel,brown,62.0,982.0,11.3,0.5,0.376,0.292,2.6,11.5,7.0,13.9,2.0,1.2,12.9,18.9,0.2,0.4,0.6,0.031,-1.4,-1.3,-2.6,-0.2
dwight,powell,69.0,992.0,16.8,0.557,0.054000000000000006,0.48,9.3,20.9,15.1,7.2,1.8,2.0,10.0,18.4,1.8,1.3,3.1,0.151,-1.3,1.0,-0.3,0.4
jordan,clarkson,79.0,2552.0,14.3,0.516,0.29100000000000004,0.18600000000000003,3.8,9.6,6.6,13.8,1.7,0.2,10.2,22.8,1.7,0.4,2.1,0.039,0.6,-2.0,-1.4,0.4
russ,smith,15.0,66.0,10.5,0.415,0.22699999999999998,0.591,1.7,14.4,7.8,25.4,3.9,1.4,20.2,23.6,-0.1,0.1,-0.1,-0.040999999999999995,-5.0,0.3,-4.8,0.0
lamar,patterson,5.0,40.0,-1.9,0.276,0.4,0.2,2.8,16.3,9.6,21.1,1.2,0.0,19.7,22.2,-0.2,0.0,-0.1,-0.17600000000000002,-9.9,-1.2,-11.2,-0.1
cameron,bairstow,18.0,103.0,6.8,0.391,0.125,0.2,4.2,24.0,14.3,8.7,1.0,2.1,8.4,20.3,-0.1,0.1,0.0,-0.004,-6.9,-0.8,-7.7,-0.1
alec,brown,,,,,,,,,,,,,,,,,,,,,,
semaj,christon,,,,,,,,,,,,,,,,,,,,,,
roy,devyn-marble,28.0,249.0,5.2,0.368,0.451,0.33799999999999997,2.6,14.4,8.5,6.6,2.6,0.3,7.9,15.7,-0.4,0.3,-0.1,-0.026000000000000002,-4.8,-0.6,-5.5,-0.2
jordan,mcrae,37.0,384.0,9.7,0.488,0.34,0.22699999999999998,1.8,9.7,5.9,7.4,1.0,1.3,7.8,20.8,-0.1,0.2,0.2,0.02,-3.7,-2.8,-6.5,-0.4
xavier,thames,,,,,,,,,,,,,,,,,,,,,,
cory,jefferson,8.0,50.0,12.7,0.446,0.045,0.273,12.7,22.2,17.4,0.0,0.0,1.6,0.0,21.0,0.0,0.0,0.1,0.07,-6.1,-7.7,-13.8,-0.1
anthony,bennett,57.0,894.0,11.4,0.45799999999999996,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10.0,17.8,-0.1,0.4,0.3,0.017,-3.6,-1.2,-4.8,-0.6
victor,oladipo,72.0,2573.0,15.9,0.527,0.228,0.295,2.2,11.2,6.6,19.3,2.4,0.6,14.3,25.2,1.5,2.0,3.5,0.065,0.5,-0.5,0.0,1.3
otto,porter,74.0,1432.0,11.6,0.523,0.266,0.20199999999999999,5.6,11.6,8.7,6.8,1.6,1.7,10.9,15.1,1.0,1.8,2.7,0.092,-1.4,0.9,-0.4,0.6
cody,zeller,62.0,1487.0,14.1,0.53,0.003,0.44,7.0,20.1,13.4,10.9,1.2,2.6,12.2,15.6,1.6,2.2,3.8,0.12300000000000001,-2.1,2.5,0.4,0.9
alex,len,69.0,1518.0,13.5,0.542,0.008,0.295,10.2,22.7,16.4,3.1,1.1,5.3,15.7,13.7,1.2,2.1,3.4,0.107,-3.3,2.3,-1.0,0.4
nerlens,noel,67.0,1965.0,16.2,0.544,0.003,0.387,8.2,22.2,15.0,10.5,2.9,3.9,18.7,18.8,0.3,2.8,3.0,0.07400000000000001,-2.7,3.4,0.7,1.3
ben,mclemore,82.0,2670.0,10.4,0.552,0.47100000000000003,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,1.7,0.8,2.5,0.045,0.4,-1.3,-0.8,0.8
kentavious,caldwell-pope,82.0,2587.0,11.2,0.501,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,1.1,1.8,2.8,0.052000000000000005,-0.2,-0.9,-1.0,0.6
